text,label
"Breaking: Big earthquake hits the city, thousands affected",0
"NASA confirms water on Mars and signs of microbial life",0
"Celebrity found alive in another country after years missing",0
"Government secretly replaces officials with robots",1
"Scientists discover humans can survive without water for months",1
"Local man wins lottery twice in a week",0
"Aliens contacted world leaders according to leaked documents",1
"New study shows coffee can cure all types of cancer",1
"Police arrest suspect in major cyber fraud case",0
"Fake vaccine reports spread on social media",1
